facility,performmance AVG,no of facilities,performance max(AVG),performance min
CHC,144.1212121,726,491.0909091,12.6969697
DH,1756.333333,594,1756.333333,1756.333333
SC,12.09090909,726,84.36363636,1.636363636
PHC,22.72727273,726,159.6363636,1.090909091
SDH,781.0952381,462,1572.714286,384.952381
